Year,SCENARIO,Primary coal per capita (GJ/y)
2005,SSP3-Baseline,18.216888064141976
2010,SSP3-Baseline,19.537895109324545
2020,SSP3-Baseline,22.796665444637757
2030,SSP3-Baseline,26.10305127229786
2040,SSP3-Baseline,28.487644703536386
2050,SSP3-Baseline,30.797898125431875
2060,SSP3-Baseline,32.806811728280266
2070,SSP3-Baseline,35.26592807214903
2080,SSP3-Baseline,37.677319058660274
2090,SSP3-Baseline,40.25767560079764
2100,SSP3-Baseline,43.011875744123344
2005,SSP4-60,NA
2010,SSP4-60,20.774685304939965
2020,SSP4-60,24.408662816945398
2030,SSP4-60,28.12102453634499
2040,SSP4-60,28.230074221281175
2050,SSP4-60,26.93999143062717
2060,SSP4-60,25.917597854427374
2070,SSP4-60,23.642627011223716
2080,SSP4-60,18.10239171657108
2090,SSP4-60,12.398281098529548
2100,SSP4-60,7.109022532926207
2005,SSP1-19,17.98945550515972
2010,SSP1-19,20.946061898827598
2020,SSP1-19,16.406556825102154
2030,SSP1-19,7.3546061744008435
2040,SSP1-19,3.5542797965051136
2050,SSP1-19,2.88715789116992
2060,SSP1-19,2.9380633919918013
2070,SSP1-19,3.1798202544678977
2080,SSP1-19,2.917809779846541
2090,SSP1-19,2.337660331530074
2100,SSP1-19,1.6846018034716028
2005,SSP1-26,17.98945550515972
2010,SSP1-26,20.946061898827598
2020,SSP1-26,20.093360195304637
2030,SSP1-26,16.424078979827144
2040,SSP1-26,11.56627943376166
2050,SSP1-26,7.823790369849364
2060,SSP1-26,6.3651389583334295
2070,SSP1-26,6.2325616533058765
2080,SSP1-26,5.683298412124279
2090,SSP1-26,5.398023718241696
2100,SSP1-26,4.3141805089852525
2005,SSP2-34,18.65271031026598
2010,SSP2-34,20.34644894202892
2020,SSP2-34,17.834521267860076
2030,SSP2-34,14.678545967739007
2040,SSP2-34,9.716038929706203
2050,SSP2-34,7.71645230562181
2060,SSP2-34,8.764371796647735
2070,SSP2-34,11.817745387485092
2080,SSP2-34,15.819696702334154
2090,SSP2-34,19.131830191431767
2100,SSP2-34,20.661461712365014
2005,SSP2-45,18.65271031026598
2010,SSP2-45,20.34644894202892
2020,SSP2-45,18.140778452947938
2030,SSP2-45,16.880194723063088
2040,SSP2-45,13.718374165824525
2050,SSP2-45,12.135419904440015
2060,SSP2-45,12.812130382430977
2070,SSP2-45,14.56918137905948
2080,SSP2-45,16.671698241570873
2090,SSP2-45,20.757622420696027
2100,SSP2-45,27.390223218140875
2005,SSP5-Baseline,18.785549577248272
2010,SSP5-Baseline,19.64026689875254
2020,SSP5-Baseline,18.127648305084747
2030,SSP5-Baseline,20.33772038738515
2040,SSP5-Baseline,27.799595382601453
2050,SSP5-Baseline,41.19361230912694
2060,SSP5-Baseline,61.858190709046454
2070,SSP5-Baseline,83.23282487879862
2080,SSP5-Baseline,101.15853658536585
2090,SSP5-Baseline,111.96526624952114
2100,SSP5-Baseline,120.43389830508474
