Year,Series,LULC emissions (GtC/y),LULC upper,LULC Lower
2005,SSP3-Baseline,4.7778507,NA,NA
2005,SSP4-60,NA,NA,NA
2005,SSP1-19,3.771829776187905,NA,NA
2005,SSP1-26,3.771829776187905,NA,NA
2005,SSP2-34,6.8949484829471714,NA,NA
2005,SSP2-45,6.8949484829471714,NA,NA
2005,SSP5-Baseline,5.7326405000000005,NA,NA
2010,SSP3-Baseline,6.9230062,NA,NA
2010,SSP4-60,3.1287860176014903,NA,NA
2010,SSP1-19,3.5073388346244534,NA,NA
2010,SSP1-26,3.5073388346244534,NA,NA
2010,SSP2-34,7.161443786072146,NA,NA
2010,SSP2-45,7.161443786072146,NA,NA
2010,SSP5-Baseline,4.1711246,NA,NA
2020,SSP3-Baseline,7.4144496,NA,NA
2020,SSP4-60,1.4098006497251299,NA,NA
2020,SSP1-19,2.6546612285007374,NA,NA
2020,SSP1-26,2.6417995942053762,NA,NA
2020,SSP2-34,5.311459129861211,NA,NA
2020,SSP2-45,5.670387997141118,NA,NA
2020,SSP5-Baseline,5.0623892999999995,NA,NA
2030,SSP3-Baseline,5.8419712,NA,NA
2030,SSP4-60,0.9598920513783591,NA,NA
2030,SSP1-19,0.5252396862189628,NA,NA
2030,SSP1-26,0.15663482746912438,NA,NA
2030,SSP2-34,4.140766338053867,NA,NA
2030,SSP2-45,4.588490118810351,NA,NA
2030,SSP5-Baseline,5.566452,NA,NA
2040,SSP3-Baseline,4.6378574,NA,NA
2040,SSP4-60,1.51126725757641,NA,NA
2040,SSP1-19,1.0711874428868557,NA,NA
2040,SSP1-26,-0.3427405705366183,NA,NA
2040,SSP2-34,1.91625195106462,NA,NA
2040,SSP2-45,3.177632881004768,NA,NA
2040,SSP5-Baseline,4.0256170000000004,NA,NA
2050,SSP3-Baseline,3.7948895,NA,NA
2050,SSP4-60,1.52946204859042,NA,NA
2050,SSP1-19,-0.6417929779079873,NA,NA
2050,SSP1-26,-1.6001875476503735,NA,NA
2050,SSP2-34,-0.9149616928245861,NA,NA
2050,SSP2-45,0.6822096711159263,NA,NA
2050,SSP5-Baseline,2.3064661,NA,NA
2060,SSP3-Baseline,3.7395896,NA,NA
2060,SSP4-60,1.41148343375704,NA,NA
2060,SSP1-19,-1.3330423870404458,NA,NA
2060,SSP1-26,-2.4342559863853093,NA,NA
2060,SSP2-34,-2.426252360528508,NA,NA
2060,SSP2-45,-1.955682705311268,NA,NA
2060,SSP5-Baseline,0.1504164,NA,NA
2070,SSP3-Baseline,3.3120178,NA,NA
2070,SSP4-60,0.963407381884066,NA,NA
2070,SSP1-19,-1.6956978746058313,NA,NA
2070,SSP1-26,-2.5029622175833097,NA,NA
2070,SSP2-34,-3.1301080096836897,NA,NA
2070,SSP2-45,-2.6306318899677947,NA,NA
2070,SSP5-Baseline,-0.2386741,NA,NA
2080,SSP3-Baseline,2.8433053,NA,NA
2080,SSP4-60,-0.603009878563326,NA,NA
2080,SSP1-19,-2.0833697432683445,NA,NA
2080,SSP1-26,-2.447185159572906,NA,NA
2080,SSP2-34,-3.966769080687283,NA,NA
2080,SSP2-45,-3.801426053457842,NA,NA
2080,SSP5-Baseline,-0.14785220000000002,NA,NA
2090,SSP3-Baseline,2.5649364,NA,NA
2090,SSP4-60,-1.6772511007369202,NA,NA
2090,SSP1-19,-2.386549481097259,NA,NA
2090,SSP1-26,-2.096212445638407,NA,NA
2090,SSP2-34,-4.757855495238413,NA,NA
2090,SSP2-45,-4.559450679451971,NA,NA
2090,SSP5-Baseline,-0.4953682,NA,NA
2100,SSP3-Baseline,2.6561211,NA,NA
2100,SSP4-60,-1.9071147816577099,NA,NA
2100,SSP1-19,-2.3843628266510346,NA,NA
2100,SSP1-26,-2.8919091671229844,NA,NA
2100,SSP2-34,-4.429019438262906,NA,NA
2100,SSP2-45,-4.80007696909289,NA,NA
2100,SSP5-Baseline,-1.5303172999999999,NA,NA
1959,GCB 2021,6.761980913,8.828683356,4.69527847
1960,GCB 2021,6.791999154,9.653089891,3.930908416
1961,GCB 2021,6.822808808,12.18614146,1.459476159
1962,GCB 2021,6.560754466,8.702137199,4.419371733
1963,GCB 2021,6.052422309,8.189977832,3.914866787
1964,GCB 2021,5.730903481,7.819860805,3.641946157
1965,GCB 2021,5.1925203,7.223636017,3.161404583
1966,GCB 2021,4.942243853,6.629513103,3.254974603
1967,GCB 2021,5.027824468,6.696477338,3.359171598
1968,GCB 2021,5.054606395,6.952910366,3.156302424
1969,GCB 2021,4.735442912,6.495304735,2.975581089
1970,GCB 2021,4.713788565,6.130357161,3.29721997
1971,GCB 2021,4.664764385,6.187779568,3.141749202
1972,GCB 2021,4.676368946,6.232056336,3.120681556
1973,GCB 2021,4.538366279,6.033727099,3.043005459
1974,GCB 2021,4.36846198,6.340715677,2.396208282
1975,GCB 2021,5.191953157,7.031414141,3.352492174
1976,GCB 2021,4.770264346,6.863008043,2.677520648
1977,GCB 2021,4.643330299,6.40909422,2.877566378
1978,GCB 2021,4.228091396,5.798009577,2.658173216
1979,GCB 2021,4.252957818,5.979877563,2.526038073
1980,GCB 2021,4.143886286,5.752202586,2.535569985
1981,GCB 2021,4.314896401,5.91246973,2.717323072
1982,GCB 2021,4.233685392,5.946799876,2.520570907
1983,GCB 2021,4.66118966,6.640183664,2.682195655
1984,GCB 2021,5.172877065,7.181873495,3.163880635
1985,GCB 2021,4.901381317,7.05306971,2.749692925
1986,GCB 2021,4.82822373,6.714911683,2.941535777
1987,GCB 2021,4.630070998,6.405952428,2.854189569
1988,GCB 2021,4.503998531,6.527006145,2.480990918
1989,GCB 2021,4.353715023,6.617263353,2.090166692
1990,GCB 2021,4.299177896,6.264409506,2.333946285
1991,GCB 2021,4.212085871,6.145725409,2.278446333
1992,GCB 2021,4.391596566,6.624117692,2.159075439
1993,GCB 2021,4.293191936,6.60645868,1.979925191
1994,GCB 2021,4.814918628,7.087298122,2.542539134
1995,GCB 2021,4.76620893,7.213931041,2.31848682
1996,GCB 2021,4.841017536,6.786401218,2.895633855
1997,GCB 2021,6.67064254,8.49691127,4.844373811
1998,GCB 2021,5.134417961,7.471209819,2.797626102
1999,GCB 2021,5.073022132,7.72665783,2.419386435
2000,GCB 2021,4.537286564,6.787437622,2.287135506
2001,GCB 2021,4.164913807,6.940773448,1.389054167
2002,GCB 2021,4.718125177,6.68242481,2.753825543
2003,GCB 2021,5.093357214,7.025334357,3.161380072
2004,GCB 2021,4.576294199,7.4490915620000004,1.703496837
2005,GCB 2021,4.099912911,6.269965391,1.929860431
2006,GCB 2021,4.639983878,6.526543641,2.753424114
2007,GCB 2021,4.046595993,5.950593265,2.142598722
2008,GCB 2021,4.138871087,6.157056896,2.120685277
2009,GCB 2021,4.529241034,6.37584422,2.682637848
2010,GCB 2021,4.278861401,6.211653322,2.346069481
2011,GCB 2021,4.831137937,7.185600705,2.47667517
2012,GCB 2021,4.676439817,7.696603331,1.656276304
2013,GCB 2021,4.316789196,6.187862883,2.44571551
2014,GCB 2021,4.563694802,6.726504796,2.400884807
2015,GCB 2021,4.766905795,7.274502972,2.259308617
2016,GCB 2021,3.70357452,5.786521887,1.620627153
2017,GCB 2021,3.662879316,5.495929721,1.829828912
2018,GCB 2021,3.857538704,5.90897214,1.806105267
2019,GCB 2021,3.825410667,6.553907892,1.096913442
2020,GCB 2021,3.209992961,5.887851796,0.532134125
2021,GCB 2021,2.9,5.5,0.3
1959,GCB 2019,6.633176142,NA,NA
1960,GCB 2019,6.053841359,NA,NA
1961,GCB 2019,5.769627779,NA,NA
1962,GCB 2019,5.593165216,NA,NA
1963,GCB 2019,5.37749126,NA,NA
1964,GCB 2019,5.182409267,NA,NA
1965,GCB 2019,4.993685886,NA,NA
1966,GCB 2019,4.830846362,NA,NA
1967,GCB 2019,4.745545108,NA,NA
1968,GCB 2019,4.726755752,NA,NA
1969,GCB 2019,4.74732761,NA,NA
1970,GCB 2019,4.659964686,NA,NA
1971,GCB 2019,4.569523257,NA,NA
1972,GCB 2019,4.457843359,NA,NA
1973,GCB 2019,4.371186372,NA,NA
1974,GCB 2019,4.245978716,NA,NA
1975,GCB 2019,4.16266029,NA,NA
1976,GCB 2019,4.108417227,NA,NA
1977,GCB 2019,4.041821152,NA,NA
1978,GCB 2019,3.905777148,NA,NA
1979,GCB 2019,3.805794161,NA,NA
1980,GCB 2019,3.975385636,NA,NA
1981,GCB 2019,4.037931114,NA,NA
1982,GCB 2019,4.094302313,NA,NA
1983,GCB 2019,4.250638896,NA,NA
1984,GCB 2019,4.39088202,NA,NA
1985,GCB 2019,4.463523815,NA,NA
1986,GCB 2019,4.593735213,NA,NA
1987,GCB 2019,4.730573852,NA,NA
1988,GCB 2019,4.791793467,NA,NA
1989,GCB 2019,4.890301632,NA,NA
1990,GCB 2019,4.793250735,NA,NA
1991,GCB 2019,4.787483227,NA,NA
1992,GCB 2019,4.818892149,NA,NA
1993,GCB 2019,4.810612425,NA,NA
1994,GCB 2019,4.788193161,NA,NA
1995,GCB 2019,4.734086633,NA,NA
1996,GCB 2019,4.638468564,NA,NA
1997,GCB 2019,6.369507084,NA,NA
1998,GCB 2019,4.350662802,NA,NA
1999,GCB 2019,4.255390019,NA,NA
2000,GCB 2019,4.913771691,NA,NA
2001,GCB 2019,4.660783482,NA,NA
2002,GCB 2019,5.352180071,NA,NA
2003,GCB 2019,5.567740182,NA,NA
2004,GCB 2019,5.418368743,NA,NA
2005,GCB 2019,5.011502499,NA,NA
2006,GCB 2019,5.19396214,NA,NA
2007,GCB 2019,4.527523821,NA,NA
2008,GCB 2019,4.757657798,NA,NA
2009,GCB 2019,5.511569592,NA,NA
2010,GCB 2019,5.073339445,NA,NA
2011,GCB 2019,4.917288455,NA,NA
2012,GCB 2019,5.378880612,NA,NA
2013,GCB 2019,5.564230813,NA,NA
2014,GCB 2019,6.079128411,NA,NA
2015,GCB 2019,6.241719559,NA,NA
2016,GCB 2019,5.633057382,NA,NA
2017,GCB 2019,5.382503678,NA,NA
2018,GCB 2019,5.52842322,NA,NA
2019,GCB 2019,6.6,NA,NA
